Region,Year,Average,Maximum,Minimum
Africa,2000,3001.125,21758,0
Africa,2001,2541.5,21405,0
Africa,2002,2290.8333,21553,0
Africa,2003,2075.2307,19824,0
Africa,2004,1487.1578,18793,1
Africa,2005,1623.6666,18528,0
Africa,2006,1298.1,19106,0
Africa,2007,441.90475,2645,0
Africa,2008,1202.84,18084,0
Africa,2009,1201.1666,16767,0
Africa,2010,1375.24,15893,6
Africa,2011,1566.6957,15554,6
Africa,2012,1816.1923,16213,4
Africa,2013,1918.0667,17023,18
Africa,2014,1895.6666,17805,16
Africa,2015,1634.2778,18673,7
Africa,2016,2274.1428,19016,12
Africa,2017,2670.5454,20336,7
Africa,2018,4094.1428,21036,9
Africa,2019,3979.4285,21325,10
Africa,2020,3553.125,19846,36
Americas,2000,3274.0264,45360,0
Americas,2001,3227.524,47943,0
Americas,2002,3273.6191,49695,0
Americas,2003,2982.675,51043,0
Americas,2004,2711.6099,48374,0
Americas,2005,2571.0232,47578,0
Americas,2006,2911.5334,49145,0
Americas,2007,2857.6304,47707,0
Americas,2008,2771.1304,50113,1
Americas,2009,3393.8408,51434,1
Americas,2010,3935.6667,52260,0
Americas,2011,4076.8718,52198,0
Americas,2012,4044.25,56337,1
Americas,2013,3707.1052,56804,1
Americas,2014,3994.5642,59681,2
Americas,2015,4394.2646,58138,4
Americas,2016,4303.6216,61143,3
Americas,2017,5007.0625,63748,5
Americas,2018,4526.697,55914,12
Americas,2019,4050.7878,44033,0
Americas,2020,7256.706,43879,15
Asia,2000,2619.3438,48167,1
Asia,2001,2364.647,46420,5
Asia,2002,3129.3823,45736,2
Asia,2003,3322.1614,44331,3
Asia,2004,2826.2432,46490,2
Asia,2005,2855.9119,45095,2
Asia,2006,2792.2646,44961,3
Asia,2007,2590.1052,45362,3
Asia,2008,2501.9,45999,1
Asia,2009,2546.805,45824,3
Asia,2010,2432.5813,46460,1
Asia,2011,2723.158,47640,1
Asia,2012,2758.389,47478,4
Asia,2013,2584.8484,45878,1
Asia,2014,3063.2593,47356,1
Asia,2015,2225.484,44373,0
Asia,2016,2887.6897,42320,1
Asia,2017,2493.9285,41017,2
Asia,2018,2700.3928,40985,2
Asia,2019,2221.2222,40479,2
Asia,2020,2831.5334,40651,2
Europe,2000,1444.1794,41090,0
Europe,2001,1429.7805,42921,0
Europe,2002,1476.475,44252,0
Europe,2003,2135.3333,41764,0
Europe,2004,1612.7333,39256,0
Europe,2005,1488.7333,35636,0
Europe,2006,1241.5,28844,0
Europe,2007,953.75,25377,0
Europe,2008,694.9231,18188,0
Europe,2009,647.45,17659,0
Europe,2010,585.9762,16690,0
Europe,2011,550.0,16175,0
Europe,2012,588.8293,16247,0
Europe,2013,531.925,16033,0
Europe,2014,612.675,16516,0
Europe,2015,550.4,16646,0
Europe,2016,565.1622,15864,0
Europe,2017,553.1316,13293,1
Europe,2018,470.65714,11964,1
Europe,2019,415.07895,11202,1
Europe,2020,439.0625,10697,1
Oceania,2000,147.5,465,1
Oceania,2001,121.85714,436,1
Oceania,2002,130.14285,470,0
Oceania,2003,124.625,609,0
Oceania,2004,45.75,263,0
Oceania,2005,109.888885,603,0
Oceania,2006,92.63636,610,0
Oceania,2007,81.09091,520,0
Oceania,2008,82.166664,603,0
Oceania,2009,91.416664,697,0
Oceania,2010,103.7,713,1
Oceania,2011,41.25,248,1
Oceania,2012,39.625,243,0
Oceania,2013,63.8,245,3
Oceania,2014,77.25,243,3
Oceania,2015,72.75,236,3
Oceania,2016,70.0,227,0
Oceania,2017,62.5,208,0
Oceania,2018,78.666664,221,2
Oceania,2019,45.5,225,0
Oceania,2020,80.666664,221,1
