region,year,total
Africa,2000,24009
Africa,2001,25415
Africa,2002,27490
Africa,2003,26978
Africa,2004,28256
Africa,2005,24355
Africa,2006,25962
Africa,2007,9280
Africa,2008,30071
Africa,2009,28828
Africa,2010,34381
Africa,2011,36034
Africa,2012,47221
Africa,2013,28771
Africa,2014,28435
Africa,2015,29417
Africa,2016,31838
Africa,2017,29376
Africa,2018,28659
Africa,2019,27856
Africa,2020,28425
Americas,2000,124413
Americas,2001,135556
Americas,2002,137492
Americas,2003,119307
Americas,2004,111176
Americas,2005,110554
Americas,2006,131019
Americas,2007,131451
Americas,2008,127472
Americas,2009,149329
Americas,2010,153491
Americas,2011,158998
Americas,2012,161770
Americas,2013,140870
Americas,2014,155788
Americas,2015,149405
Americas,2016,159234
Americas,2017,160226
Americas,2018,149381
Americas,2019,133676
Americas,2020,123364
Asia,2000,83819
Asia,2001,80398
Asia,2002,106399
Asia,2003,102987
Asia,2004,104571
Asia,2005,97101
Asia,2006,94937
Asia,2007,98424
Asia,2008,100076
Asia,2009,104419
Asia,2010,104601
Asia,2011,103480
Asia,2012,99302
Asia,2013,85300
Asia,2014,82708
Asia,2015,68990
Asia,2016,83743
Asia,2017,69830
Asia,2018,75611
Asia,2019,59973
Asia,2020,42473
Europe,2000,56323
Europe,2001,58621
Europe,2002,59059
Europe,2003,51248
Europe,2004,48382
Europe,2005,44662
Europe,2006,37245
Europe,2007,34335
Europe,2008,27102
Europe,2009,25898
Europe,2010,24611
Europe,2011,22000
Europe,2012,24142
Europe,2013,21277
Europe,2014,24507
Europe,2015,22016
Europe,2016,20911
Europe,2017,21019
Europe,2018,16473
Europe,2019,15773
Europe,2020,14050
Oceania,2000,885
Oceania,2001,853
Oceania,2002,911
Oceania,2003,997
Oceania,2004,366
Oceania,2005,989
Oceania,2006,1019
Oceania,2007,892
Oceania,2008,986
Oceania,2009,1097
Oceania,2010,1037
Oceania,2011,330
Oceania,2012,317
Oceania,2013,319
Oceania,2014,309
Oceania,2015,291
Oceania,2016,280
Oceania,2017,250
Oceania,2018,236
Oceania,2019,364
Oceania,2020,242
